Title,Author,Genre,Rating,Number_of_Reviews
Book 335,Author 31,Self-Help,4.8,2968
Book 113,Author 33,Fantasy,3.8,2317
Book 433,Author 4,Romance,4.9,596
Book 4,Author 41,Self-Help,3.1,3224
Book 425,Author 49,Mystery,3.7,2136
Book 130,Author 34,Self-Help,3.3,4244
Book 414,Author 44,Mystery,4.6,286
Book 322,Author 1,Mystery,5.0,4259
Book 354,Author 27,Biography,3.1,2016
Book 447,Author 39,Fantasy,4.9,1886
Book 373,Author 44,Self-Help,3.3,1040
Book 120,Author 26,Self-Help,4.6,289
Book 353,Author 21,Science,4.0,1166
Book 307,Author 18,Biography,3.1,4958
Book 350,Author 29,Romance,3.0,407
Book 272,Author 13,Science,4.5,2352
Book 414,Author 29,Romance,4.9,1954
Book 48,Author 5,Fiction,3.1,2000
Book 82,Author 35,Romance,4.2,1888
Book 310,Author 18,Fantasy,4.3,2784
Book 20,Author 17,Science,4.1,4980
Book 15,Author 33,Fantasy,3.3,104
Book 163,Author 40,Biography,3.1,3197
Book 155,Author 14,Science,3.8,2256
Book 373,Author 12,Science,3.6,3252
Book 337,Author 50,Science,3.1,80
Book 197,Author 50,Self-Help,3.4,4815
Book 301,Author 31,Fiction,4.6,70
Book 406,Author 34,Self-Help,4.8,3517
Book 183,Author 19,Fiction,4.6,737
Book 415,Author 31,Non-Fiction,4.9,2231
Book 216,Author 9,Mystery,4.1,4833
Book 392,Author 19,Fiction,3.8,4529
Book 497,Author 17,Fantasy,3.0,1740
Book 387,Author 40,Biography,3.3,1699
Book 497,Author 42,Fiction,3.0,2737
Book 9,Author 31,Mystery,3.7,3812
Book 238,Author 44,Self-Help,4.6,4482
Book 453,Author 36,Biography,4.7,881
Book 389,Author 41,Mystery,3.3,4031
Book 278,Author 25,Biography,3.4,4065
Book 483,Author 46,Self-Help,3.8,2035
Book 66,Author 9,Self-Help,3.1,584
Book 364,Author 35,Science,4.5,1392
Book 17,Author 1,Self-Help,3.7,114
Book 443,Author 38,Non-Fiction,4.2,252
Book 306,Author 34,Fantasy,4.8,84
Book 454,Author 23,Mystery,4.8,4194
Book 464,Author 37,Mystery,3.6,4271
Book 463,Author 21,Mystery,4.4,311
Book 384,Author 37,Non-Fiction,3.6,4264
Book 457,Author 44,Mystery,4.5,1893
Book 99,Author 39,Self-Help,4.1,92
Book 487,Author 21,Fantasy,4.2,1650
Book 58,Author 21,Romance,3.6,1268
Book 237,Author 24,Non-Fiction,3.7,4913
Book 79,Author 22,Fantasy,4.1,2969
Book 63,Author 40,Biography,3.1,1557
Book 49,Author 27,Mystery,5.0,125
Book 200,Author 2,Mystery,3.0,372
Book 216,Author 37,Self-Help,4.8,65
Book 316,Author 28,Biography,4.4,2124
Book 490,Author 31,Self-Help,4.2,2172
Book 444,Author 43,Self-Help,4.4,3012
Book 309,Author 5,Romance,5.0,2081
Book 403,Author 8,Self-Help,3.1,2688
Book 319,Author 35,Fantasy,4.4,3349
Book 479,Author 34,Non-Fiction,3.3,3085
Book 131,Author 30,Romance,3.2,4285
Book 465,Author 45,Science,4.3,1782
Book 496,Author 50,Biography,4.2,1625
Book 210,Author 11,Science,3.2,2096
Book 297,Author 38,Biography,3.3,1902
Book 254,Author 35,Mystery,4.7,3597
Book 141,Author 40,Biography,3.4,796
Book 329,Author 18,Non-Fiction,3.7,407
Book 444,Author 30,Science,3.4,311
Book 401,Author 26,Science,5.0,4467
Book 487,Author 12,Fantasy,4.0,222
Book 11,Author 30,Non-Fiction,3.3,2671
Book 145,Author 4,Science,4.1,1119
Book 485,Author 26,Non-Fiction,4.8,2102
Book 330,Author 14,Mystery,4.4,604
Book 169,Author 17,Self-Help,3.5,1502
Book 394,Author 2,Mystery,4.4,4681
Book 55,Author 5,Self-Help,4.3,2398
Book 95,Author 26,Fiction,4.5,539
Book 42,Author 5,Self-Help,4.1,1547
Book 96,Author 4,Self-Help,3.6,4048
Book 351,Author 28,Biography,4.0,1729
Book 453,Author 19,Non-Fiction,3.2,2574
Book 16,Author 40,Biography,4.3,3165
Book 300,Author 36,Fantasy,4.5,2665
Book 334,Author 30,Biography,3.8,1948
Book 349,Author 10,Biography,3.7,4136
Book 367,Author 22,Non-Fiction,3.6,4525
Book 211,Author 42,Fiction,4.9,4872
Book 466,Author 41,Biography,4.4,3280
Book 345,Author 28,Romance,4.7,3278
Book 271,Author 27,Non-Fiction,3.8,4785
Book 40,Author 15,Fantasy,4.6,192
Book 499,Author 47,Science,3.4,4351
Book 243,Author 3,Biography,4.1,3308
Book 379,Author 15,Self-Help,3.0,1823
Book 287,Author 23,Self-Help,4.4,2657
Book 213,Author 39,Mystery,3.4,3410
Book 476,Author 32,Non-Fiction,3.2,850
Book 387,Author 42,Biography,3.6,621
Book 231,Author 3,Mystery,3.7,4092
Book 355,Author 41,Romance,3.5,121
Book 440,Author 10,Mystery,3.1,1274
Book 392,Author 44,Self-Help,4.5,3179
Book 117,Author 45,Self-Help,3.3,1298
Book 264,Author 48,Science,4.2,724
Book 35,Author 5,Science,4.0,1092
Book 93,Author 3,Fantasy,4.1,3864
Book 396,Author 49,Fantasy,3.3,2413
Book 499,Author 16,Self-Help,4.7,2994
Book 54,Author 17,Romance,3.3,2621
Book 333,Author 48,Romance,3.7,1831
Book 188,Author 18,Biography,3.2,2992
Book 494,Author 18,Mystery,3.0,896
Book 394,Author 48,Mystery,4.8,3685
Book 381,Author 38,Fantasy,3.3,979
Book 489,Author 9,Fiction,3.5,4893
Book 220,Author 5,Romance,4.9,3003
Book 88,Author 36,Self-Help,3.7,4463
Book 146,Author 36,Biography,4.5,3481
Book 248,Author 30,Romance,4.9,4576
Book 318,Author 9,Self-Help,3.3,106
Book 201,Author 11,Science,4.5,1572
Book 114,Author 19,Science,3.4,3136
Book 390,Author 27,Science,4.6,1954
Book 495,Author 6,Romance,3.3,1022
Book 131,Author 3,Romance,4.4,1374
Book 30,Author 3,Science,3.4,1454
Book 303,Author 36,Fiction,4.8,4969
Book 311,Author 2,Romance,4.0,2177
Book 99,Author 39,Fantasy,3.2,4067
Book 386,Author 3,Fantasy,3.5,4177
Book 258,Author 10,Fantasy,4.3,809
Book 143,Author 16,Mystery,3.4,4026
Book 359,Author 37,Self-Help,4.1,1778
Book 281,Author 12,Romance,3.6,4021
Book 166,Author 34,Mystery,3.0,3189
Book 371,Author 8,Fiction,3.9,1366
Book 47,Author 36,Fantasy,4.3,3915
Book 161,Author 41,Self-Help,3.0,3632
Book 305,Author 7,Fantasy,4.6,3411
Book 415,Author 31,Romance,3.8,2532
Book 119,Author 22,Romance,4.7,2439
Book 4,Author 14,Fiction,3.3,4157
Book 50,Author 33,Biography,3.4,2775
Book 295,Author 47,Self-Help,4.9,4934
Book 108,Author 47,Mystery,4.7,2644
Book 110,Author 6,Science,4.3,1679
Book 98,Author 49,Fantasy,3.2,4754
Book 364,Author 31,Non-Fiction,4.9,1821
Book 19,Author 33,Fiction,4.1,3481
Book 50,Author 49,Science,4.0,814
Book 81,Author 42,Self-Help,3.8,1680
Book 462,Author 23,Science,3.7,2274
Book 4,Author 16,Biography,3.8,3220
Book 492,Author 12,Fiction,4.2,4550
Book 328,Author 10,Mystery,3.4,523
Book 85,Author 32,Self-Help,4.8,715
Book 480,Author 29,Fantasy,4.7,3696
Book 271,Author 29,Mystery,3.1,4507
Book 254,Author 20,Romance,4.2,2297
Book 355,Author 22,Non-Fiction,3.1,513
Book 42,Author 13,Fiction,3.5,4131
Book 231,Author 36,Science,4.6,4852
Book 398,Author 26,Romance,3.4,4258
Book 165,Author 38,Romance,4.9,4446
Book 477,Author 16,Non-Fiction,3.6,1134
Book 156,Author 29,Romance,4.4,3700
Book 480,Author 2,Biography,4.9,2665
Book 228,Author 38,Fantasy,3.7,299
Book 120,Author 5,Non-Fiction,4.4,4633
Book 140,Author 10,Romance,3.6,4192
Book 334,Author 43,Non-Fiction,4.7,889
Book 203,Author 49,Romance,3.9,1752
Book 123,Author 36,Fantasy,4.0,4046
Book 209,Author 40,Non-Fiction,4.5,4400
Book 1,Author 8,Fantasy,4.8,951
Book 497,Author 15,Mystery,3.6,3900
Book 403,Author 33,Mystery,3.2,1205
Book 311,Author 2,Science,3.4,2955
Book 399,Author 33,Mystery,4.2,3656
Book 144,Author 22,Mystery,3.6,1920
Book 235,Author 18,Romance,3.6,4896
Book 366,Author 10,Mystery,3.6,2664
Book 97,Author 3,Non-Fiction,4.5,2151
Book 269,Author 40,Science,4.6,2332
Book 263,Author 14,Non-Fiction,3.3,3084
Book 117,Author 30,Biography,4.2,1352
Book 110,Author 35,Mystery,4.3,2001
Book 81,Author 17,Romance,4.9,4466
Book 263,Author 36,Fiction,4.8,2254
Book 217,Author 45,Self-Help,4.2,262
Book 11,Author 28,Science,4.3,3778
Book 90,Author 36,Mystery,4.7,970
Book 72,Author 15,Non-Fiction,3.5,496
Book 428,Author 40,Mystery,4.5,1403
Book 62,Author 40,Non-Fiction,3.7,2796
Book 349,Author 24,Biography,4.0,4816
Book 208,Author 18,Fiction,3.2,3649
Book 71,Author 50,Self-Help,4.3,1804
Book 314,Author 13,Science,3.9,1961
Book 368,Author 42,Science,3.4,3958
Book 378,Author 14,Romance,4.3,1266
Book 191,Author 2,Romance,3.6,1797
Book 222,Author 21,Non-Fiction,4.6,4612
Book 488,Author 11,Science,4.1,101
Book 203,Author 30,Fiction,4.5,753
Book 460,Author 46,Romance,3.5,4925
Book 491,Author 21,Science,4.1,1414
Book 30,Author 34,Biography,4.8,3421
Book 59,Author 42,Fiction,3.1,2526
Book 367,Author 22,Mystery,4.9,4314
Book 107,Author 41,Fantasy,4.0,4320
Book 438,Author 2,Biography,4.5,3459
Book 175,Author 29,Mystery,4.1,307
Book 271,Author 34,Fiction,4.4,2341
Book 241,Author 28,Romance,4.8,1972
Book 150,Author 3,Self-Help,5.0,2093
Book 110,Author 39,Romance,5.0,1977
Book 367,Author 22,Fiction,5.0,3857
Book 392,Author 20,Romance,3.9,2228
Book 320,Author 36,Non-Fiction,4.6,1133
Book 282,Author 28,Self-Help,4.1,3807
Book 471,Author 11,Self-Help,4.2,4234
Book 431,Author 24,Biography,3.8,791
Book 328,Author 3,Science,3.6,2257
Book 41,Author 42,Self-Help,4.7,4285
Book 421,Author 5,Fiction,4.8,3723
Book 369,Author 46,Mystery,4.0,1195
Book 449,Author 34,Fiction,4.5,1961
Book 65,Author 6,Non-Fiction,3.8,2954
Book 123,Author 34,Science,3.8,2925
Book 290,Author 21,Science,4.4,657
Book 250,Author 14,Fiction,3.1,4894
Book 403,Author 35,Fantasy,4.2,1184
Book 248,Author 24,Fantasy,4.3,3810
Book 288,Author 48,Mystery,4.7,4061
Book 469,Author 24,Mystery,4.0,2205
Book 75,Author 47,Non-Fiction,4.7,3540
Book 28,Author 10,Self-Help,3.1,1116
Book 139,Author 47,Science,3.3,2563
Book 442,Author 4,Science,4.4,2875
Book 355,Author 5,Non-Fiction,4.8,1793
Book 187,Author 23,Biography,4.6,2839
Book 443,Author 30,Science,4.8,4839
Book 475,Author 11,Fiction,3.5,3468
Book 233,Author 14,Fantasy,4.7,3196
Book 40,Author 38,Science,3.9,1019
Book 353,Author 36,Non-Fiction,4.8,265
Book 390,Author 1,Self-Help,3.9,2317
Book 443,Author 49,Self-Help,3.8,2402
Book 364,Author 24,Self-Help,4.3,3737
Book 130,Author 28,Mystery,3.0,3993
Book 224,Author 15,Self-Help,3.8,3097
Book 3,Author 1,Non-Fiction,3.1,1535
Book 133,Author 44,Self-Help,3.0,174
Book 172,Author 47,Science,3.4,117
Book 182,Author 41,Biography,3.7,1748
Book 364,Author 39,Self-Help,3.8,3062
Book 92,Author 8,Science,3.8,4749
Book 56,Author 36,Mystery,3.4,2973
Book 387,Author 48,Romance,4.6,73
Book 457,Author 20,Fiction,4.1,3363
Book 333,Author 28,Romance,3.3,133
Book 256,Author 25,Self-Help,4.4,3751
Book 286,Author 47,Self-Help,3.5,3141
Book 139,Author 14,Biography,4.3,1327
Book 53,Author 14,Fantasy,4.7,3056
Book 103,Author 41,Biography,4.5,2317
Book 485,Author 3,Non-Fiction,4.8,2808
Book 257,Author 2,Fantasy,3.6,3263
Book 323,Author 23,Non-Fiction,3.4,293
Book 55,Author 25,Biography,3.5,4393
Book 390,Author 45,Fiction,3.5,1421
Book 290,Author 46,Mystery,3.2,3440
Book 394,Author 15,Non-Fiction,4.2,1700
Book 304,Author 33,Fiction,4.4,2311
Book 325,Author 33,Mystery,3.7,1641
Book 169,Author 26,Fiction,4.5,1242
Book 376,Author 50,Non-Fiction,4.8,2226
Book 83,Author 49,Mystery,4.8,3355
Book 440,Author 1,Non-Fiction,3.2,2199
Book 98,Author 20,Fiction,3.9,4547
Book 257,Author 8,Self-Help,4.2,3311
Book 170,Author 42,Science,3.2,3235
Book 459,Author 45,Self-Help,3.1,902
Book 286,Author 30,Biography,4.2,4421
Book 260,Author 48,Biography,4.8,292
Book 298,Author 1,Biography,3.7,650
Book 86,Author 45,Romance,3.7,1410
Book 342,Author 42,Non-Fiction,4.4,4441
Book 404,Author 34,Romance,3.2,2551
Book 163,Author 7,Biography,4.3,159
Book 305,Author 23,Fantasy,4.1,3530
Book 352,Author 18,Fiction,3.3,3856
Book 130,Author 28,Self-Help,3.1,3437
Book 55,Author 15,Biography,4.8,2597
Book 212,Author 42,Biography,3.9,2456
Book 457,Author 21,Mystery,3.1,1635
Book 348,Author 48,Fiction,3.9,2454
Book 404,Author 38,Fantasy,4.0,4362
Book 218,Author 16,Romance,4.2,1439
Book 72,Author 7,Fantasy,4.9,3945
Book 113,Author 32,Mystery,3.4,1914
Book 460,Author 21,Romance,3.0,3698
Book 24,Author 40,Fiction,4.0,2125
Book 476,Author 37,Science,3.9,4837
Book 438,Author 32,Self-Help,4.3,1530
Book 18,Author 12,Fantasy,4.9,4092
Book 367,Author 33,Mystery,4.1,1637
Book 365,Author 15,Science,4.7,3518
Book 340,Author 3,Science,3.6,3948
Book 424,Author 49,Romance,4.9,834
Book 381,Author 37,Fantasy,3.8,1503
Book 141,Author 31,Self-Help,4.8,4301
Book 463,Author 20,Science,3.4,354
Book 397,Author 10,Self-Help,4.9,967
Book 315,Author 9,Non-Fiction,3.9,3497
Book 468,Author 36,Non-Fiction,3.1,2631
Book 455,Author 35,Mystery,3.6,1605
Book 346,Author 17,Self-Help,3.4,2858
Book 50,Author 49,Fantasy,3.1,4853
Book 44,Author 42,Science,3.7,1764
Book 373,Author 43,Non-Fiction,4.7,2913
Book 300,Author 3,Fiction,4.5,2575
Book 14,Author 15,Romance,4.7,2690
Book 437,Author 28,Fiction,4.1,2629
Book 384,Author 19,Non-Fiction,4.6,300
Book 297,Author 21,Science,4.8,1122
Book 120,Author 11,Science,3.8,379
Book 469,Author 46,Fantasy,4.4,4113
Book 416,Author 36,Self-Help,4.1,949
Book 324,Author 45,Non-Fiction,3.6,2301
Book 18,Author 17,Fiction,4.8,3062
Book 192,Author 30,Romance,4.0,3179
Book 207,Author 24,Self-Help,3.2,305
Book 456,Author 5,Fiction,4.1,625
Book 118,Author 34,Mystery,4.3,3368
Book 253,Author 17,Science,3.4,3905
Book 491,Author 41,Self-Help,3.7,1920
Book 76,Author 3,Science,4.7,1757
Book 29,Author 21,Non-Fiction,3.1,4789
Book 281,Author 50,Non-Fiction,3.9,2510
Book 119,Author 37,Non-Fiction,4.5,4800
Book 204,Author 17,Self-Help,3.9,2328
Book 94,Author 37,Mystery,4.3,2096
Book 268,Author 47,Mystery,4.0,396
Book 265,Author 28,Biography,4.5,134
Book 221,Author 19,Fiction,4.9,4593
Book 26,Author 16,Romance,3.9,4657
Book 5,Author 17,Fiction,3.0,175
Book 497,Author 18,Science,3.9,70
Book 205,Author 40,Fantasy,4.6,3162
Book 202,Author 7,Non-Fiction,3.8,2203
Book 327,Author 29,Romance,3.1,1327
Book 218,Author 43,Self-Help,3.3,4112
Book 455,Author 38,Biography,4.1,4705
Book 390,Author 50,Mystery,3.1,2769
Book 457,Author 16,Science,3.2,2716
Book 65,Author 11,Non-Fiction,4.7,1369
Book 164,Author 38,Science,3.7,4686
Book 320,Author 45,Fiction,4.9,2256
Book 79,Author 44,Biography,3.7,1375
Book 347,Author 48,Romance,4.1,831
Book 244,Author 29,Biography,4.0,4095
Book 20,Author 13,Fiction,4.6,2133
Book 490,Author 22,Science,3.2,1438
Book 254,Author 30,Romance,3.5,1629
Book 173,Author 9,Science,4.7,2798
Book 407,Author 43,Science,4.0,3947
Book 235,Author 19,Science,4.6,4102
Book 40,Author 22,Romance,4.9,3370
Book 235,Author 23,Fantasy,3.4,3850
Book 226,Author 29,Science,4.7,2192
Book 150,Author 6,Science,3.5,949
Book 15,Author 5,Self-Help,3.2,2472
Book 464,Author 9,Fantasy,4.5,4193
Book 383,Author 39,Science,3.8,3048
Book 135,Author 7,Fantasy,4.0,2532
Book 298,Author 7,Fantasy,3.5,1806
Book 22,Author 3,Fiction,4.5,2343
Book 486,Author 27,Romance,3.3,1512
Book 239,Author 6,Biography,4.8,1159
Book 352,Author 9,Self-Help,4.2,1562
Book 437,Author 47,Fantasy,3.1,3737
Book 198,Author 2,Science,4.8,333
Book 310,Author 42,Non-Fiction,4.1,4848
Book 348,Author 12,Biography,4.2,4366
Book 92,Author 3,Fantasy,4.3,4664
Book 295,Author 19,Self-Help,4.4,4139
Book 137,Author 49,Fantasy,4.9,1358
Book 336,Author 12,Fantasy,4.5,2463
Book 322,Author 43,Non-Fiction,3.7,1953
Book 117,Author 31,Non-Fiction,3.2,1761
Book 282,Author 40,Mystery,3.3,1704
Book 197,Author 18,Romance,4.4,1712
Book 376,Author 10,Mystery,4.1,3895
Book 195,Author 20,Romance,4.2,4623
Book 402,Author 41,Romance,4.3,1772
Book 155,Author 16,Non-Fiction,3.2,1591
Book 391,Author 45,Mystery,3.7,736
Book 2,Author 11,Non-Fiction,3.4,370
Book 291,Author 17,Fantasy,3.5,3805
Book 217,Author 26,Fantasy,4.5,3049
Book 292,Author 18,Non-Fiction,4.7,1020
Book 491,Author 50,Biography,4.0,1721
Book 381,Author 42,Fantasy,4.3,1729
Book 290,Author 40,Biography,3.1,2317
Book 375,Author 49,Fantasy,4.9,3335
Book 397,Author 14,Fantasy,4.6,1073
Book 31,Author 43,Biography,4.5,1897
Book 244,Author 8,Romance,4.0,1988
Book 370,Author 45,Self-Help,3.4,2844
Book 211,Author 42,Biography,3.9,4190
Book 350,Author 39,Self-Help,4.9,1745
Book 46,Author 13,Mystery,3.0,4042
Book 170,Author 40,Romance,5.0,577
Book 27,Author 1,Fiction,3.7,1952
Book 319,Author 32,Fiction,4.1,4786
Book 127,Author 28,Non-Fiction,3.9,4876
Book 445,Author 42,Fiction,4.3,1437
Book 27,Author 11,Romance,4.0,1306
Book 431,Author 35,Fiction,3.5,4744
Book 371,Author 46,Biography,4.6,660
Book 301,Author 10,Self-Help,3.9,922
Book 296,Author 27,Fiction,3.3,1110
Book 333,Author 35,Mystery,3.6,3252
Book 29,Author 15,Fantasy,3.8,3973
Book 237,Author 5,Mystery,3.7,1196
Book 340,Author 43,Self-Help,4.3,2724
Book 274,Author 1,Fiction,3.8,3660
Book 344,Author 46,Fiction,3.2,3405
Book 54,Author 26,Science,4.3,4953
Book 179,Author 44,Biography,3.3,996
Book 16,Author 50,Self-Help,3.3,3175
Book 347,Author 10,Mystery,3.8,4969
Book 367,Author 46,Mystery,4.3,498
Book 306,Author 29,Romance,4.7,664
Book 472,Author 38,Romance,4.9,4005
Book 462,Author 3,Biography,3.5,316
Book 235,Author 21,Non-Fiction,3.1,3651
Book 82,Author 39,Fiction,4.3,2634
Book 491,Author 29,Mystery,4.3,2791
Book 369,Author 43,Biography,4.0,4226
Book 269,Author 4,Non-Fiction,3.3,1772
Book 144,Author 25,Self-Help,4.2,3215
Book 344,Author 41,Non-Fiction,4.9,1548
Book 5,Author 8,Non-Fiction,3.7,3305
Book 409,Author 15,Biography,3.1,4375
Book 85,Author 34,Self-Help,3.1,2680
Book 323,Author 4,Fantasy,3.2,2165
Book 216,Author 18,Science,4.0,2940
Book 343,Author 27,Non-Fiction,5.0,2925
Book 189,Author 22,Self-Help,4.9,2571
Book 155,Author 15,Fiction,3.1,4569
Book 50,Author 25,Science,4.7,626
Book 490,Author 25,Mystery,3.5,1431
Book 351,Author 24,Non-Fiction,4.7,2648
Book 209,Author 19,Self-Help,4.7,1866
Book 15,Author 34,Fantasy,4.1,3037
Book 5,Author 2,Science,4.6,721
Book 235,Author 23,Romance,4.5,3235
Book 455,Author 35,Non-Fiction,4.9,418
Book 288,Author 48,Biography,4.8,4755
Book 227,Author 6,Fiction,4.8,2918
Book 19,Author 18,Self-Help,4.9,1126
Book 264,Author 6,Non-Fiction,3.6,1816
Book 268,Author 6,Romance,4.9,4662
Book 457,Author 38,Romance,4.5,2780
Book 191,Author 23,Science,4.0,3148
Book 342,Author 22,Non-Fiction,4.0,1608
Book 22,Author 15,Non-Fiction,3.0,1023
Book 363,Author 25,Fantasy,4.8,3428
Book 382,Author 46,Biography,3.7,4751
Book 285,Author 9,Biography,4.2,303
Book 315,Author 30,Biography,4.1,2799
Book 298,Author 22,Mystery,4.8,832
Book 5,Author 8,Biography,4.4,1265
Book 106,Author 29,Self-Help,3.1,156
Book 393,Author 6,Science,4.1,61
Book 290,Author 17,Self-Help,3.3,2574
Book 182,Author 36,Romance,3.0,3659
Book 211,Author 28,Mystery,5.0,766
Book 144,Author 7,Biography,4.1,2698
Book 287,Author 2,Mystery,4.1,3860
Book 323,Author 28,Mystery,4.3,736
Book 170,Author 49,Science,4.3,1240
Book 108,Author 40,Non-Fiction,3.9,1036
Book 89,Author 30,Romance,3.9,4624
Book 186,Author 3,Science,4.4,293
Book 216,Author 35,Biography,4.0,4264
Book 469,Author 34,Fantasy,4.7,2546
